Gene Symbol,Gene Info,EntrezID
ATM, ATM serine/threonine kinase,472
ATR, ATR serine/threonine kinase,545
BABAM1,BRISC and BRCA1 A complex member 1,29086
BARD1,BRCA1 associated RING domain 1,580
BRCA1,BRCA1,672
BRCA2,BRCA2,675
BRCC3,BRCA1/BRCA2-containing complex subunit 3,79184
BABAM2,BRISC and BRCA1 A complex member 2,9577
EGFR,epidermal growth factor receptor,1956
ERBB2,erb-b2 receptor tyrosine kinase 2,2064
ERBB3,erb-b2 receptor tyrosine kinase 3,2065
ERBB4, erb-b2 receptor tyrosine kinase 4,2066
H2AFX,H2A histone family member X,3014
LIG1,DNA ligase 1,3978
MDC1,mediator of DNA damage checkpoint 1,9656
MRE11A,MRE11A homolog A,4361
NBN,nibrin,4683
PALB2,partner and localizer of BRCA2,79728
POLA1,"DNA polymerase alpha 1, catalytic subunit",5422
PTEN,phosphatase and tensin homolog,5728
RAD50,RAD50 double strand break repair protein,10111
RAD51,RAD51,5888
RAD52,RAD52,5893
RAD54L,RAD54 like,8438
RBBP8,RB binding protein 8,5932
RNF8,ring finger protein 8,9025
TP53BP1,tumor protein p53 binding protein 1,7158
UBE2V2,ubiquitin conjugating enzyme E2 V2,7336
