,,Carboplatin,,,,,,Cisplatin,,,,,,Docetaxel,,,,,
,,rs1136201,rs2070096,rs2229046,rs2229571,rs2284922,rs773123,rs1136201,rs2070096,rs2229046,rs2229571,rs2284922,rs773123,rs1136201,rs2070096,rs2229046,rs2229571,rs2284922,rs773123
Breast Cancer (n=54),Het-Ref,0.449985329,0.865062932,0.065486066,0.887250098,0.96900142,0.252636894,0.37098368,0.076939381,0.068976224,0.999657586,0.786053141,0.428063031,0.986774469,0.99940378,0.907221456,0.975418204,0.709457143,0.806456189
,Minor-Ref,0.999392816,0.674545089,NA,0.987403489,0.853861766,0.258132221,0.923223538,0.998135459,NA,0.686250421,0.805603134,0.51544676,0.997309092,0.572268091,NA,0.532051908,0.678851493,0.564514037
,Minor-Het,0.790278776,0.95368472,NA,0.773074207,0.733043376,0.988330469,0.568260576,0.225647539,NA,0.691766567,0.444710266,0.995407734,0.991547035,0.702184187,NA,0.663617884,0.987564364,0.438324783
HER2 (n=11),Het-Ref,NA,0.451312907,0.110209884,0.12345256,0.132430629,0.110209884,NA,0.107545456,0.658645437,0.502483394,0.499626825,0.658645437,NA,0.162613589,0.964917471,0.98526651,0.599851741,0.964917471
,Minor-Ref,NA,NA,NA,0.169459921,0.684455587,NA,NA,NA,NA,0.064425619,0.813705848,NA,NA,NA,NA,0.719312264,0.111362322,NA
,Minor-Het,NA,NA,NA,0.007483031,0.910163734,NA,NA,NA,NA,0.009605161,0.998140972,NA,NA,NA,NA,0.58273653,0.25035828,NA
,,Cisplatin,,,,,,,,,,,,,,,,,
,,rs1136201,rs2070096,rs2229046,rs2229571,rs2284922,rs773123,,,,,,,,,,,,
Breast Cancer (n=54),Het-Ref,0.37098368,0.076939381,0.068976224,0.999657586,0.786053141,0.428063031,,,,,,,,,,,,
,Minor-Ref,0.923223538,0.998135459,NA,0.686250421,0.805603134,0.51544676,,,,,,,,,,,,
,Minor-Het,0.568260576,0.225647539,NA,0.691766567,0.444710266,0.995407734,,,,,,,,,,,,
HER2 (n=11),Het-Ref,NA,0.107545456,0.658645437,0.502483394,0.499626825,0.658645437,,,,,,,,,,,,
,Minor-Ref,NA,NA,NA,0.064425619,0.813705848,NA,,,,,,,,,,,,
,Minor-Het,NA,NA,NA,0.009605161,0.998140972,NA,,,,,,,,,,,,
,,Docetaxel,,,,,,,,,,,,,,,,,
,,rs1136201,rs2070096,rs2229046,rs2229571,rs2284922,rs773123,,,,,,,,,,,,
Breast Cancer (n=54),Het-Ref,0.986774469,0.99940378,0.907221456,0.975418204,0.709457143,0.806456189,,,,,,,,,,,,
,Minor-Ref,0.997309092,0.572268091,NA,0.532051908,0.678851493,0.564514037,,,,,,,,,,,,
,Minor-Het,0.991547035,0.702184187,NA,0.663617884,0.987564364,0.438324783,,,,,,,,,,,,
HER2 (n=11),Het-Ref,NA,0.162613589,0.964917471,0.98526651,0.599851741,0.964917471,,,,,,,,,,,,
,Minor-Ref,NA,NA,NA,0.719312264,0.111362322,NA,,,,,,,,,,,,
,Minor-Het,NA,NA,NA,0.58273653,0.25035828,NA,,,,,,,,,,,,
